Point,Author,Latitude,Longitude,Category
1,"Abad et al., 2020",36.69235,53.552619,A
2,"Abad et al., 2020",36.69235,53.552619,B
3,"Abad et al., 2020",36.69235,53.552619,D
4,"Abad et al., 2020",36.69235,53.552619,E
5,"Adeleye et al., 2022",25.513,-80.504,D
6,"Adeleye et al., 2022",25.513,-80.504,E
7,"Adeleye et al., 2022",25.543,-80.516,D
8,"Adeleye et al., 2022",25.543,-80.516,E
9,"Adler et al., 2009",42.477806,-72.605806,D
10,"Adler et al., 2009",42.477806,-72.605806,E
11,"Agboka et al., 2006",6.40444,2.320833,D
12,"Agboka et al., 2006",6.40444,2.320833,E
13,"Agboka et al., 2006",7.216667,2.116667,D
14,"Agboka et al., 2006",7.216667,2.116667,E
15,"Agboka et al., 2006",8.416667,1.883333,D
16,"Agboka et al., 2006",8.416667,1.883333,E
17,"Agboka et al., 2013",6.40444,2.320833,D
18,"Agboka et al., 2013",6.40444,2.320833,E
19,"Ahmed et al., 2013",31.418722,73.079111,A
20,"Ahmed et al., 2013",31.418722,73.079111,D
21,"Ahmed et al., 2013",30.682306,73.515556,A
22,"Ahmed et al., 2013",30.682306,73.515556,D
23,"Alacron-Segura et al., 2022",51.545483,9.905547,A
24,"Alacron-Segura et al., 2022",51.545483,9.905547,B
25,"Alacron-Segura et al., 2022",51.545483,9.905547,D
26,"Alioghli et al., 2022",37.566667,47.9,A
27,"Alioghli et al., 2022",37.566667,47.9,D
28,"Alioghli et al., 2022",37.566667,47.9,E
29,"Almaguer-Vargas et al., 2018",20.952122,-97.40435,D
30,"Asman, 2002",59.815,17.663,D
31,"Baggen & Gurr, 1998",-33.888881,151.189411,B
32,"Baggen & Gurr, 1998",-33.888881,151.189411,D
33,"Balmer et al., 2014",47.5026,7.54333,B
34,"Balmer et al., 2014",47.5026,7.54333,D
35,"Balmer et al., 2014",47.5026,7.54333,E
36,"Balusu et al., 2015",32.666944,-86.833611,D
37,"Balzan et al., 2016",43.6667,10.3167,A
38,"Balzan et al., 2016",43.6667,10.3167,E
39,"Balzan et al., 2017",35.866667,14.466667,A
40,"Balzan et al., 2017",35.866667,14.466667,B
41,"Balzan et al., 2017",35.866667,14.466667,E
42,"Bandara et al., 2009",7.266667,80.6,B
43,"Bandara et al., 2009",7.266667,80.6,D
44,"Bandara et al., 2009",7.266667,80.6,E
45,"Berndt et al., 2002",-43.639997,172.46783,B
46,"Berndt et al., 2002",-43.639997,172.46783,D
47,"Bickerton & Hamilton, 2012",40.582758,-74.958708,A
48,"Bickerton & Hamilton, 2012",40.582758,-74.958708,D
49,"Bjorkman et al., 2010",63.75,20.25,A
50,"Bjorkman et al., 2010",63.75,20.25,D
51,"Blackshaw et al., 2010",48.633333,-112.783333,E
52,"Bottenberg et al., 1998",12.1806,8.6617,A
53,"Bottenberg et al., 1998",12.1806,8.6617,D
54,"Bottenberg et al., 1998",12.1806,8.6617,E
55,"Bowers et al., 2020",32.871,-82.22,A
56,"Bowers et al., 2020",32.871,-82.22,D
57,"Bowers et al., 2020",32.871,-82.22,E
58,"Brandmeier et al., 2021",52.405547,13.198472,A
59,"Brandmeier et al., 2021",52.405547,13.198472,B
60,"Brandmeier et al., 2021",52.405547,13.198472,D
61,"Brandmeier et al., 2021",52.405547,13.198472,E
62,"Brennan, 2013",36.6225,-121.549167,E
63,"Brennan, 2016",36.594689,-119.516389,E
64,"Broad et al., 2008",-41.2,146.266667,B
65,"Broad et al., 2008",-41.2,146.266667,E
66,"Brown et al., 2010",39.388056,-77.939597,B
67,"Brown et al., 2010",39.388056,-77.939597,E
68,"Buchanan & Hooks, 2018",38.823056,-76.742778,A
69,"Buchanan & Hooks, 2018",38.823056,-76.742778,D
70,"Buchanan & Hooks, 2018",38.823056,-76.742778,E
71,"Buckland et al., 2017",41.549861,-112.110719,D
72,"Cahenzli et al., 2019",50.551944,4.75,A
73,"Cahenzli et al., 2019",50.551944,4.75,D
74,"Cahenzli et al., 2019",55.632222,12.125,A
75,"Cahenzli et al., 2019",55.632222,12.125,D
76,"Cahenzli et al., 2019",55.632222,12.125,A
77,"Cahenzli et al., 2019",55.632222,12.125,D
78,"Cahenzli et al., 2019",49.3675,7.875,A
79,"Cahenzli et al., 2019",49.3675,7.875,D
80,"Cahenzli et al., 2019",49.3675,7.875,A
81,"Cahenzli et al., 2019",49.3675,7.875,D
82,"Cahenzli et al., 2019",46.383056,11.25,A
83,"Cahenzli et al., 2019",46.383056,11.25,D
84,"Cahenzli et al., 2019",46.383056,11.25,A
85,"Cahenzli et al., 2019",46.383056,11.25,D
86,"Cahenzli et al., 2019",52.518056,20.25,A
87,"Cahenzli et al., 2019",52.518056,20.25,D
88,"Cahenzli et al., 2019",52.534722,20.25,A
89,"Cahenzli et al., 2019",52.534722,20.25,D
90,"Cahenzli et al., 2019",55.606389,14.125,A
91,"Cahenzli et al., 2019",55.606389,14.125,D
92,"Cahenzli et al., 2019",55.667222,14.125,A
93,"Cahenzli et al., 2019",55.667222,14.125,D
94,"Cahenzli et al., 2019",55.667222,14.125,A
95,"Cahenzli et al., 2019",55.667222,14.125,D
96,"Cahenzli et al., 2019",47.55,5.625,A
97,"Cahenzli et al., 2019",47.55,5.625,D
98,"Cahenzli et al., 2019",47.55,5.625,A
