V1,V2,V3,V4,V5
Total predator response (214/58),0.1398,0.0292,0.2503,1
Total parasitoid response (79/26),0.3496,0.1618,0.5374,2
Total predator-parasitoid response (12/5),0.1538,-0.1276,0.4351,3
Total herbivore response (579/108),-0.4141,-0.5115,-0.3167,4
Total crop response (367/99),0.1184,0.0539,0.183,5
NA,NA,NA,NA,
Total predator response (108/17),0.1396,0.0539,0.2253,1
Total parasitoid response (26/7),0.1167,0.0095,0.2238,2
Total predator-parasitoid response (7/2),0.8198,-0.5235,2.163,3
Total herbivore response (107/24),-0.3693,-0.6068,-0.1318,4
Total crop response (25/6),0.0197,-0.0429,0.0896,5
NA,NA,NA,NA,
Total predator response (215/55),0.1412,0.0324,0.25,1
Total parasitoid response (73/26),0.4037,0.204,0.6033,2
Total predator-parasitoid response (11/5),0.1733,-0.1236,0.4702,3
Total herbivore response (515/97),-0.4685,-0.5767,-0.3604,4
Total crop response (310/81),0.1359,0.0598,0.212,5
NA,NA,NA,NA,
Total predator response (105/20),0.141,0.0383,0.2436,1
Total parasitoid response (26/5),0.1076,-0.0232,0.2384,2
Total predator-parasitoid response (3/2),1.0868,-1.5232,3.6968,3
Total herbivore response (171/37),-0.2188,-0.364,-0.0736,4
Total crop response (82/26),0.0204,-0.0236,0.0644,5
