V1,V2,V3,V4,V5
Total predator response (126/39),0.1397,-0.0077,0.2871,1
Total parasitoid response (59/22),0.3735,0.1327,0.6143,2
Total predator-parasitoid response (9/4),0.6467,-0.1263,1.4196,3
Total herbivore response (456/79),-0.3939,-0.4919,-0.296,4
Total crop response (230/69),0.0717,-0.0101,0.1534,5
NA,NA,NA,NA,NA
Total predator response (120/21),0.1148,0.0346,0.195,1
Total parasitoid response (14/1),0.1031,-0.0262,0.2324,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (146/30),-0.3325,-0.5103,-0.1547,4
Total crop response (76/16),0.1531,0.0192,0.2867,5
NA,NA,NA,NA,NA
Total predator response (76/17),0.1749,0.0346,0.195,1
Total parasitoid response (32/11),0.238,-0.0262,0.2324,2
Total predator-parasitoid response (10/3),0.0646,NA,NA,3
Total herbivore response (84/24),-0.4582,-0.7762,-0.1401,4
Total crop response (86/22),0.2158,0.0193,0.2868,5
