V1,V2,V3,V4,V5
Total predator response (306/71),0.1349,0.0495,0.2204,1
Total parasitoid response (93/32),0.3235,0.1687,0.4783,2
Total predator-parasitoid response (19/7),0.3668,-0.0979,0.8316,3
Total herbivore response (617/124),-0.4179,-0.5141,-0.3218,4
Total crop response (391/104),0.1132,0.0518,0.1746,5
NA,,,,
Total predator response (1/1),0.5434,-0.0937,1.1806,1
Total parasitoid response (0/0),NA,NA,NA,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (14/4),-0.4899,-0.8552,-0.1245,4
Total crop response (1/1),0.1548,-0.3866,0.6961,5
NA,NA,NA,NA,NA
Total predator response (15/3),0.2165,-0.3551,0.788,1
Total parasitoid response (12/2),0.1878,-0.1612,0.5368,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (53/5),-0.1496,-0.3321,0.0328,4
Total crop response (0/0),NA,NA,NA,5
