V1,V2,V3,V4,V5
Total predator response (290/63),0.1306,0.0435,0.2177,1
Total parasitoid response (78/26),0.2125,0.1042,0.3208,2
Total predator-parasitoid response (19/7),0.3668,-0.0979,0.8316,3
Total herbivore response (355/89),-0.2846,-0.3732,-0.1959,4
Total crop response (241/68),0.0752,0.0028,0.1476,5
NA,NA,NA,NA,NA
Total predator response (15/7),0.3165,-0.1365,0.7695,1
Total parasitoid response (15/6),0.4947,-0.1699,1.1593,2
Total predator-parasitoid response (0/0),NA,NA,NA,3
Total herbivore response (256/35),-0.6763,-0.8692,-0.4835,4
Total crop response (149/35),0.1914,0.0787,0.3041,5
